Judge,Name,URL,Tag,Difficulty
cf,Duff in Mafia,https://codeforces.com/problemset/problem/587/D,2_sat,3000
cf,Too Many Constraints,https://codeforces.com/problemset/problem/1697/F,2_sat,2800
gym,Crossword Puzzle,https://codeforces.com/gym/103104/problem/G,2_sat,2700
المپیادی,تبعید,https://quera.org/problemset/18780/,2_sat,3000
cf,National Property,https://codeforces.com/contest/876/problem/E,2_sat,2100
cf,Ring Road 2,https://codeforces.com/problemset/problem/27/D,2_sat,1900
cf,Catowice City,https://codeforces.com/contest/1239/problem/D,2_sat,2400
cf,Radio Stations,https://codeforces.com/problemset/problem/1215/F,2_sat,2700
cf,Words on Tree,https://codeforces.com/problemset/problem/1657/F,2_sat,2700
cf,Ants,https://codeforces.com/problemset/problem/1007/D,2_sat | Fake_vertex,3100
cf,Graph Transpositions,https://codeforces.com/problemset/problem/1442/C,Djikstra,2400
cf,Mike and Fish,https://codeforces.com/problemset/problem/547/D,Euler_tour,2100
cf,Mashtali: a Space Oddysey,https://codeforces.com/problemset/problem/1610/F,Euler_tour,2900
cf,Points and Segments,https://codeforces.com/contest/429/problem/E,Euler_tour,3000
cf,Data Center Drama,https://codeforces.com/problemset/problem/527/E,Euler_tour,1900
cf,Johnny and Megan's Necklace,https://codeforces.com/contest/1361/problem/C,Euler_tour,2500
oj,Postmen,https://oj.uz/problem/view/BOI14_postmen,Euler_tour,2000
cf,Fair Share,https://codeforces.com/contest/1634/problem/E,Euler_tour,2300
cf,Tanya and Password,https://codeforces.com/problemset/problem/508/D,Euler_tour,2300
usaco,Fenced In,http://www.usaco.org/index.php?page=viewproblem2&cpid=625,Kruskal,2300
المپیادی,مدکا,https://quera.org/problemset/2742/,Matrix,2500
cses,Graph Paths I,https://cses.fi/problemset/task/1723,Matrix,1600
atcoder,Good Vertices,https://atcoder.jp/contests/abc236/tasks/abc236_g,Matrix,2100
cses,Graph Paths II,https://cses.fi/problemset/task/1724,Matrix,1600
atcoder,Walk,https://atcoder.jp/contests/dp/tasks/dp_r,Matrix,1600
baekjoon,Reading,https://www.acmicpc.net/problem/7081,Matrix,2600
cf,Little Pony and Elements of Harmony,https://codeforces.com/problemset/problem/453/D,Matrix | FWHT,3000
cf,Magic Gems,https://codeforces.com/contest/1117/problem/D,Matrix,1800
المپیادی,قورباغه ها,https://quera.org/problemset/2741/,Matix,2700
cf,Stairs and Lines,https://codeforces.com/contest/498/problem/E,Matrix,2700
cf,Subsequences Return,https://codeforces.com/problemset/problem/497/E,Matrix,2900
cf,Once Again,https://codeforces.com/contest/582/problem/B,Matrix,1900
cf,Wet Shark and Blocks,https://codeforces.com/contest/621/problem/E,Matrix,2000
cf,Flight for Regular Customers,https://codeforces.com/contest/576/problem/D,Matrix,2700
gym,Long Grid Covering,https://codeforces.com/gym/103098/problem/L,Matrix,2100
